"AUTEURSENAUTEURSFUNCTIES","DOCUMENTCODE","DRUK","EMBARGODATUM","ISBN13EAN","ISBNFOLIOBK","JAARVANUITGAVE","MEDIAPRODUCTFAMILY","NAAMVANUITGEVER","NUMMER","OMVANG","ONDERTITEL","PLAATSVANUITGAVE","PRIJS","PRODUCTSTATUS","PRODUCTTEKST","RUBRIEKCODE","RUBRIEKSOMSCHRIJVING","RUBRIEKSOMSCHRIJVING2","RUBRIEKSOMSCHRIJVING3","SAMENVATTINGABSTRACT","SERIENRCQREEKSNR","SERIETITELCQREEKSTITEL","TITEL","VERSCHIJNINGSDATUM","WIJZIGINGSDATUM","WIJZIGINGSSTATUS"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","8","","9789462510883","9789462510883","2015","","Paris","","160","Met bijzonder voorwoord van mr. R.G.T. Bleeker","Zutphen","65.60","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, ook die niet elders is gepubliceerd, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in deeltjes van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 12B worden behandeld: Hoofdstuk 32: Onduidelijkheden in schriftelijke stukken, Hoofdstuk 33: Tegenstrijdigheden in schriftelijke stukken, Hoofdstuk 34: Tegenstrijdigheden tussen schriftelijke stukken en de werkelijkheid. Bij de achtste druk: De wijzigingen in Deel 12B bestaan met name uit het invoeren van sinds de vorige druk verschenen nieuwe rechtspraak. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: hoogleraar bouwrecht aan de Technische Universiteit Delft","12B","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 12B","09-12-2015","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","9","","9789462510739","9789462510739","2015","","Paris","","226","met voorwoord van mr. A.F.J. Jacobs","Zutphen","79.82","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, ook die niet elders is gepubliceerd, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in deeltjes van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. Deel 3 behandelt: Hoofdstuk 6: aanvang en uitvoeringsduur van het werk, Hoofdstuk 7: verplichtingen en risico 's met betrekking tot aanvang en uitvoeringsduur van het werk. Bij de negende druk. In deze negende druk is rekening gehouden met de publicatie van de AVA 2013, die AVA 1992 vervangt. Voorts is weer veel rechtspraak van zowel de RvA als van de overheidsrechter opgenomen en geordend in beeld gebracht. Daarnaast is in deze druk de inhoud van de nummers 190 en 191 inzake tijdige coördinatie verwijderd en overgebracht naar deel 13. De reden is dat het meer voor de hand ligt alle aspecten van coördinatie bij elkaar te behandelen. Gekozen is voor deel 13, waar het onderwerp coördinatie eveneens aan de orde komt. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: hoogleraar bouwrecht aan de Technische Universiteit Delft","3","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 3","11-06-2015","24-12-2020","Gewijzigd"
"Tzankova, I.N.|Visscher, L.T.|Faure, M.G.","gereed","","","9789462510968","9789462510968","2015","","Paris","","94","Preadviezen Nederlandse Vereniging voor Burgerlijk Recht 2015","Zutphen","35.78","Final","","822","Privaatrecht","","","In dit preadvies staan de collectieve acties centraal. In het eerste deel belichten prof. Faure en Visscher de collectieve actie vanuit rechtseconomisch perspectief. Vanuit dat gezichtspunt analyseren zij de voor- en nadelen van een collectieve actie. Voorts wordt ingegaan op de toegang tot de rechter, de financiering van collectieve acties ex Art. 3:305a BW, de WCAM en het consultatievoorstel. In het tweede deel gaat prof. Tzankova in op de vraag of de Nederlandse collectieve actie  'globalisering proof' is en geeft daarbij een helicopterview van de belangrijkste internationale ontwikkelingen van de afgelopen tien jaar. Vervolgens stelt zij de aard van de groepsvertegenwoordiger en de financiering daarvan centraal, en legt zij de knelpunten in de huidige praktijk bloot.","2015","Preadviezen Vereniging voor Burgerlijk Recht","Collectieve acties","01-12-2015","24-12-2020","Gewijzigd"
"Zwieten, P. van","gereed","","","9789462510401","9789462510401","2015","","Paris","","276","","Zutphen","57.34","Final","","822","Privaatrecht","","","Dit proefschrift gaat over de rechtspositie van de gesubrogeerde verzekeraar in het Nederlandse schadeverzekeringsrecht. De centrale vraag is in hoeverre de hiervoor bedoelde rechtspositie van de schadeverzekeraar (na subrogatie) afwijkt van de rechtspositie van de verzekerde (voor subrogatie). Ter beantwoording van deze vraag, wordt in dit boek voor elk artikellid van de subrogatiebepaling (art. 7:962 BW) onderzocht wat de ratio en de reikwijdte is van het bewuste artikellid, alsook op welke wijze het bewuste artikellid de rechtspositie van de verzekeraar beïnvloedt. In dit kader wordt onder meer de reikwijdte van de diverse artikelleden afgezet tegen de ratio 's daarvan. Daarbij is er uitgebreid aandacht voor rechtsvergelijking. Waar knelpunten worden gesignaleerd, worden concrete verbeteroplossingen aangedragen. Nu de rechtspositie van de schadeverzekeraar, naast de subrogatiebepaling, ook wordt bepaald door de Tijdelijke regeling verhaalsrechten (art. 6:197 BW) en (mogelijkerwijs) door de Bedrijfsregeling Brandregres, worden ook deze regelingen uitvoerig voor het voetlicht gebracht. Tot slot is ook een hoofdstuk gewijd aan de nog steeds gevoerde discussies over de verhaalbaarheid van redelijke kosten gemaakt ter vaststelling van schade en aansprakelijkheid.","12","ACIS-Serie","De gesubrogeerde verzekeraar in het schadeverzekeringsrecht","27-03-2015","24-12-2020","Gewijzigd"
"Hellegers, D.P.C.M. ","gereed","","","9789462510920","9789462510920","2015","","Paris","","246","","Zutphen","53.67","Final","","827","","","","Dit proefschrift gaat over de juridische aspecten van Kifid. De centrale vraag in dit boek is hoe Kifid functioneert in het licht van de meest belangrijke juridische randvoorwaarden zoals vastgelegd in wetgeving, rechtspraak en doctrine. Om deze vraag te beantwoorden wordt er allereerst aandacht besteed aan de ontstaansgeschiedenis van Kifid en zijn organisatie. Bezien wordt hoe Kifid is ingericht en functioneert binnen het kader van de Wft, het BGfo, de Implementatiewet buitengerechtelijke geschillenbeslechting consumenten en relevante Europese verordeningen, richtlijnen en aanbevelingen. Voorts worden de rechtsverhoudingen tussen de verschillende actoren die betrokken zijn bij Kifid tegen het licht gehouden en juridisch gekwalificeerd. Daarbij kan onder meer worden gedacht aan de rechtsverhouding tussen de organen van Kifid onderling, maar ook aan de rechtsverhouding tussen de (proces)partijen, Kifid en de daaraan verbonden bindend adviseurs. In dat kader bevat het boek onder meer beschouwingen over de diensten van Kifid in het licht van afdeling 2a en 3 van Boek 6 BW en de leerstukken  'vaststellingsovereenkomst' en  'opdracht'.","13","ACIS-Serie","De juridische aspecten van het Klachteninstituut Financiële Dienstverlening (Kifid) anno 2015","27-11-2015","24-12-2020","Gewijzigd"
"Keulen, B.F.|Dijk, A.A. van|Bröring, H.E.|Buwalda, M.E.|Postma, A.","gereed","","","9789462510784","9789462510784","2015","","Paris","","648","","Zutphen","87.16","Final","","823","Staats- en bestuursrecht","","","Op 16 juli 2014 is het voorstel van de Omgevingswet bij de Tweede Kamer ingediend. Verschillende wetten op het terrein van de fysieke leefomgeving worden geheel of gedeeltelijk in deze wet geïntegreerd. De wetten en delen van wetten die de Omgevingswet zal vervangen, hanteren niet allemaal dezelfde handhavingsinstrumenten. Dat geldt ook voor de punitieve handhaving. Zowel het strafrecht als de bestuurlijke boete speelt een rol. Dit boek vormt de neerslag van een onderzoek naar de vraag hoe de punitieve handhaving van voorschriften die bij of krachtens de Omgevingswet gesteld worden, vorm kan worden gegeven. Het onderzoek is verricht in opdracht van het Ministerie van Infrastructuur en Milieu en het Ministerie van Veiligheid en Justitie.","","","De punitieve handhaving van de omgevingswet","24-11-2015","24-12-2020","Gewijzigd"
"Engel, Kees|Roos, Jessica","gereed","","","9789462510845","9789462510845","2015","","Paris","","125","Arrestenbundel","Zutphen","21.10","Final","","822","Privaatrecht","","","Dit boek bevat dertig samenvattingen van rechterlijke uitspraken waarin de zorgplicht van de assurantietussenpersoon centraal staat. De feiten van iedere uitspraak worden besproken, alsmede de relevante overwegingen van de rechterlijke instantie of geschillencommissie die over de feiten moest oordelen. Iedere samenvatting eindigt met een slotsom, waarin de betekenis van de rechterlijke uitspraak voor de zorgplicht van de assurantietussenpersoon wordt omschreven. De bedoeling van dit boek – dat in wezen een arrestenbundel vormt – is de zorgplicht van de assurantietussenpersoon nader in kaart te brengen. Het boek is hiermee interessant voor assurantietussenpersonen, maar ook voor andere personen die op de verzekeringsmarkt werkzaam zijn, zoals medewerkers van verzekeraars en advocaten.","","","De zorgplicht van de assurantietussenpersoon","16-12-2015","24-12-2020","Gewijzigd"
"Noorloos, L.A. van|Spalter,N.D.|Vols, M.","gereed","","","9789462510982","9789462510982","2015","","Paris","","45","Bundel seminar de Jonge NJV","Zutphen","16.51","Final","","821","","","","Ter gelegenheid van het zesde seminar van De Jonge Nederlandse Juristen-Vereniging op 11 december 2015 hebben Naomi Spalter, Marloes van Noorloos en Michel Vols essays geschreven over het overkoepelende thema  'Haat en liefde in het recht'. Het zijn twee emoties die goed passen bij het recht. Soms gaat het meer om de zachte kant van het recht en spelen zij een rol bij de beleving van een confl ict. Daarnaast kunnen haat en liefde ook invloed uitoefenen op het recht en daarvan onderdeel of oorzaak zijn. Deze emoties kunnen daarbij alleen tot uiting komen in de verhoudingen tussen (groepen) mensen onderling. De vraag óf, en zo ja in hoeverre, in het toepasselijke recht rekening moet worden gehouden met deze emoties, is vaak onderwerp van discussie. In sommige verhoudingen is daar weinig tot geen ruimte voor, terwijl zij in andere relaties juist de boventoon voeren. Haat en liefde dus. Vanuit het personen- en familierecht, het strafrecht en het bestuursrecht wordt door de essayisten gereflecteerd op dit thema.","","","Haat en liefde in het recht","11-12-2015","24-12-2020","Gewijzigd"
"Joosen, E.P.M.|Groot, M.K.Z.","gereed","","","9789462510869","9789462510869","2015","","Paris","","381","","Zutphen","63.76","Final","","820","","","","In dit nieuwe deel van de Financieel Juridische Reeks gaan de auteurs in op de eigenvermogensvereisten voor banken die op grond van de Richtlijn Kapitaalvereisten (CRD IV) en de Verordening Kapitaalvereisten (CRR) in Europa en in Nederland zijn ingevoerd. Daarnaast worden de nieuwe kapitaalbuffers (kapitaalconserveringsbuffer, contracyclische kapitaalbuffer, systeemrisicobuffer en buffers voor systeemrelevante banken) behandeld. Ook de nieuwe norm voor de Leverage Ratio die naar verwachting vanaf 2018 in Europa zal worden ingevoerd, maar waarin in Nederland in de toezichtpraktijk reeds op wordt vooruitgelopen, wordt behandeld. Het boek bevat tevens een hoofdstuk over de Liquidity Coverage Ratio, de nieuwe norm voor kortlopende liquiditeit voor banken die in Nederland vanaf 1 oktober 2015 van kracht gaat. De auteurs hebben de materie toegelicht met talrijke rekenvoorbeelden om de materie voor de lezer toegankelijk te maken. Dit boek bevat aldus een behandeling van een belangrijk fragment van het Europese Single Rule Book voor banken en is geschreven voor al diegenen die in de praktijk te maken hebben met de financiering van banken en de door banken aan te houden kapitaalbuffers. Prof. dr. Bart P.M. Joosen (1963) is als hoogleraar Prudentieel Toezichtrecht verbonden aan de Universiteit van Amsterdam. In zijn bijdragen aan de Nederlandse en internationale vakliteratuur besteedt hij regelmatig aandacht aan onderwerpen van het financieel toezichtrecht en dan voornamelijk het onderdeel prudentieel toezichtrecht, Bankenunie en het Single Rule Book. Bart is naast zijn rol aan de universiteit als counsel verbonden aan Loyens & Loeff en werkzaam als advocaat in de financieel toezichtrechtpraktijk. Mr. drs. Matthijs K.Z. Groot (1973) is werkzaam als advocaat. In zijn praktijk ligt de nadruk op financieel toezichtrecht, betalingsverkeer en bancaire financiering.","7","Financieel Juridische Reeks","Kapitaal- en liquiditeitseisen voor banken","12-11-2015","24-12-2020","Gewijzigd"
"Vankan, F.T.M.","gereed","","","9789462510678","9789462510678","2015","","Paris","","93","De vrijheid van meningsuiting van werknemers in verhouding tot de geheimhoudingsplicht: een onderzoek naar de rechtsbescherming van klokkenluiders in de private sector en de noodzaak tot het invoeren van een wettelijke regeling","Zutphen","27.52","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Klokkenluiderskwesties kenmerken zich door een spanningsveld tussen de vrijheid van meningsuiting van werknemers en de op hen rustende geheimhoudingsplicht. De lotgevallen van bekende klokkenluiders zoals Ad Bos en Fred Spijkers hebben ertoe geleid dat werknemers eerder zijn geneigd hun mond te houden in plaats van  'de klok te luiden'. Met het aan het licht brengen van ernstige misstanden zijn echter grote maatschappelijke belangen gediend. De rechtsbescherming van klokkenluiders in de private sector is al jarenlang veelvuldig onderwerp van discussie, zowel in juridische vakliteratuur als in de politiek. Tot op heden kent het Nederlandse arbeidsrecht geen specifieke wetgeving om dergelijke werknemers te beschermen. Wel zijn er algemene normen zoals het goed werknemerschap van art. 7:611 BW die bescherming kunnen bieden. De afgelopen jaren zijn verschillende initiatieven genomen inzake de rechtspositie van klokkenluiders en hun arbeidsrechtelijke bescherming. Het Wetsvoorstel Huis voor klokkenluiders is hier een recent voorbeeld van. Dit deel van de reeks Arbeid & Recht biedt inzicht in de rechtsbescherming van klokkenluiders in de private sector. Zo komen de vrijheid van meningsuiting, de geheimhoudingsplicht, de rechtspraak, de huidige wijze van bescherming en de noodzaak tot het invoeren van een wettelijke regeling en het Wetsvoorstel Huis voor klokkenluiders aan bod. Ter afsluiting volgen conclusies en aanbevelingen. Dit boek is niet alleen een praktisch naslagwerk voor juristen, maar ook voor iedereen die met klokkenluiden te maken heeft (gehad) of krijgt. Mevr. mr. F.T.M. Vankan is werkzaam als Young Legal Professional bij Eiffel.","9","Thema's Arbeid & Recht","Klokkenluiders","23-02-2015","24-12-2020","Gewijzigd"
"","gereed","","","9789462510913","9789462510913","2015","","Paris","","190","Beschouwingen over corporate governance, (rechtsvergelijkend) arbeidsrecht, privaatrecht en strafrecht in het licht van de Wet Huis voor klokkenluiders","Zutphen","43.58","Final","","827","","","","De preadviezen 2015 voor de Vereeniging Handelsrecht staan geheel in het teken van het fenomeen  'Klokkenluiders'. Daarmee wordt gedoeld op personen die op een gegeven moment publieke aandacht vragen voor een gebeurtenis of toestand in een organisatie waarop naar hun inzicht niet adequaat is gereageerd en die juist ook van vanwege de maatschappelijke implicaties wel aandacht vergt. De klokkenluider heeft zich inmiddels een plaats verworven in het denken over corporate governance en is daarvan een integraal onderdeel geworden. Dat geldt in het buitenland, maar evenzeer in Nederland. De preadviezen geven een overzicht van de ontwikkelingen en de stand van zaken met betrekking tot de regulering van klokkenluiders in diverse jurisdicties. De preadviseurs beschouwen ieder vanuit hun eigen invalshoek (onder meer: corporate governance, arbeidsrecht, privaatrecht, compliance, financieel recht en strafrecht) het fenomeen Klokkenluiders en besteden aandacht aan de verwachte instelling van een  'Huis voor klokkenluiders' in 2016 op basis van een wetsvoorstel dat in juli 2015 door de Tweede Kamer is aangenomen.","","Preadviezen Vereeniging Handelsrecht","Klokkenluiders in perspectief","20-11-2015","24-12-2020","Gewijzigd"
"Mierlo, Thom van","gereed","","","9789462510906","9789462510906","2015","","Paris","","60","","Zutphen","16.06","Final","","820","","","","De ondernemer en de consument van nu zijn niet die van de jaren zestig. Kwamen toen de melkman en de wasman aan huis, nu zijn het vooral internetbestellingen die aan de deur worden afgeleverd. Kwam toen de man van de P.T.T. langs om de nieuwe abonnee van een fysieke aansluiting te voorzien, nu worden nieuwe klanten draadloos verbonden. Thom van Mierlo blikt in drie persoonlijk getinte verhalen terug op het overleg tussen ondernemers en consumenten sinds de jaren zestig. De auteur schreef eerst het  'Melkverhaal' ter gelegenheid van het zestigjarig bestaan van de Consumentenbond, gevolgd door een verhaal over de organisatie van huisvrouwen die na de oorlog de primeur had van tweezijdig overleg met het bedrijfsleven. En als derde: een verhaal over het succes van het SER consumentenoverleg, zoals over  'de kleine lettertjes':  'Een continue samenspraak tussen ondernemers en consumenten, waar menig buitenland met jaloerse blikken naar kijkt. Al een halve eeuw lang. Het smaakt naar meer. Champagne!' Thom van Mierlo (Mr. Th.J.M.) Secretaris consumentenzaken bij de SER (1982-2015), redacteur van Tijdschrift voor Consumentenrecht en handelspraktijken (1985-2015), auteur van Stilstaan bij de Rijdende Rechter - Een kijkje in het consumentenrecht (2010)","","","Vijftig jaar SER consumentenoverleg: het smaakt naar meer","22-12-2015","24-12-2020","Gewijzigd"
"Schwarz, C.A. (red.)|Wolf, R.A. (red.)|Hamers, J.J.A. (red.)|Renssen, S. (red.)","gereed","","","9789462510807","9789462510807","2015","","Paris","","115","","Zutphen","32.57","Final","","827","","","","In deze bundel zijn zeven artikelen opgenomen die verschillende ondernemingsrechtelijke thema 's behandelen. Sommigen artikelen zijn Europees of internationaalrechtelijk georiënteerd, terwijl andere zijn gelegen in het hart van het nationale ondernemingsrecht. In een aantal artikelen wordt het ondernemingsrecht gecombineerd met het insolventierecht. Deze opstellen zijn zowel voor de wetenschapper als voor de praktijkjurist van groot belang. Young Corporate Lawyers 2015 is het derde deel van de ICGI-reeks. De Universiteit Maastricht ontwikkelde in 2011 een nieuw initiatief - PREMIUM geheten - waarbij faculteiten de mogelijkheid kregen excellentie bevorderende programma's te bedenken en te operationaliseren voor hun beste masterstudenten. Vanuit het Institute for Corporate Law, Governance and Innovation Policies (ICGI), dat verbonden is aan de juridische faculteit, is een aantal van die programma 's ontwikkeld, resulterend in de bundels Young Corporate Lawyers 2013 en Young Corporate Lawyers 2014, thans gevolgd door deze 2015-bundel. Actuele ondernemingsrechtelijke onderwerpen worden op aantrekkelijke wijze gepresenteerd door een selecte groep studenten, begeleid door wetenschappers en praktijkjuristen en door een kritische redactie geselecteerd. In deze bundel is tevens het resultaat van een didactisch experiment opgenomen, een artikel geschreven door de coördinator van de ICGI PREMIUM Masterclassreeks samen met een van de studenten. Dit heeft geleid tot een zeer lezenswaardige bundel met opstellen die zowel voor wetenschappers als praktizijns geschreven zijn.","2015","ICGI-Reeks","Young Corporate Lawyers 2015","01-10-2015","24-12-2020","Gewijzigd"
"Kluiver, H.J. de|Blanco Fernández, J.M.|Huizink, J.B.|Overes, C.H.C.|Plomp, E.|Waaijer, B.C.M.","gereed","","","9789462511217","9789462511217","2016","","Paris","","147","","Zutphen","39.91","Final","","827","","","","De Vereeniging Handelsrecht buigt zich dit jaar over de voorstellen die van regeringswege zijn gedaan met betrekking tot een nieuwe regeling van het bestuur en toezicht binnen de privaatrechtelijke rechtspersonen zoals die worden onderscheiden in Boek 2 BW. Deze voorstellen zien enerzijds op een concentratie en uniformering van de regels die gelden voor de onderscheiden rechtspersonen in de algemene titel van Boek 2 BW en anderzijds, als gevolg van die uniformering en concentratie, op een aanzienlijke aanscherping van de regels die gelden voor het bestuur en toezicht bij niet-commerciële rechtspersonen, meer specifiek de vereniging en de stichting. Dit wetsvoorstel inzake bestuur en toezicht rechtspersonen (WBTR) roept veel vragen op. Heeft die uniformering voor alle privaatrechtelijke rechtspersonen werkelijk zin? Leidt dat tot betere regelgeving? Wordt aldus recht gedaan aan de grote variëteit van de maatschappelijke belangen die door rechtspersonen worden gediend? Houdt de regelgeving rekening met de enorme variëteit in aard, omvang, doelstelling en werkzaamheid van rechtspersonen? Hoe verhoudt de voorgestelde regeling zich met de uitgebreide sectorale wetgeving bijvoorbeeld in het onderwijs of de gezondheidszorg? Wordt in deze voorgestelde privaatrechtelijke wetgeving wel voldoende rekening gehouden met rechtspersonen die in de semipublieke en non-profitsfeer nu juist ook mede publieke belangen behartigen?","2016","Preadviezen Vereeniging Handelsrecht","Bestuur en toezicht bij rechtspersonen, mede in de semipublieke en non-profitsector","22-11-2016","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511033","9789462511033","2016","","Paris","","285","Met een voorwoord van mr. S.J.H. Rutten","Zutphen","78.90","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 14 worden behandeld: Verantwoordelijkheid uitvoeringswerkzaamheden","14 (nieuwe opzet)","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 14 (nieuwe opzet)","27-05-2016","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511040","9789462511040","2016","","Paris","","199","Met een voorwoord van mr. L.C. van den Berg","Zutphen","69.27","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 15 worden behandeld: Ontwerp, Waarschuwingsplicht, Ontwerp afkomstig van aannemer. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof  's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","15 (nieuwe opzet)","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 15 (nieuwe opzet)","27-05-2016","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511125","9789462511125","2016","","Paris","","155","Met een voorwoord van mr. G.J. Huith.","Zutphen","69.27","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 16 worden behandeld: Verplichtingen van de opdrachtgever uit hoofde van de aannemingsovereenkomst","16","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 16 (nieuwe opzet)","14-10-2016","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511170","9789462511170","2016","","Paris","","190","Met een voorwoord van prof. mr. J.M. van Dunné.","Zutphen","69.27","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 17 worden behandeld: Verantwoordelijkheid van de aannemer/leverancier voor bouwstoffen en hulpmiddelen","17","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 17 (nieuwe opzet)","14-10-2016","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511163","9789462511163","2016","","Paris","","227","Met een bijzonder voorwoord van mr. P. Vermeij","Zutphen","73.85","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 18 worden behandeld: Schorsing en beïndiging. In gebreke blijven, Retentierecht. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof  's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","18 (nieuwe opzet)","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 18 (nieuwe opzet)","14-12-2016","24-12-2020","Gewijzigd"
